Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";2do;5;5;141;135;107;64;76;86;65;96;80;72;82;79;34;67;57;49;71;0;0;0;0;0;;2;4;2;0;57%;56%;49%;0%;16
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";2do;2;2;24;49;30;17;18;28;21;27;20;17;17;25;10;19;11;12;12;0;0;0;0;0;;1;2;1;0;25%;24%;22%;0%;7
19;2;"I.E. Nº 5145 ""BALNEARIO""";2do;3;3;95;74;52;26;37;39;32;43;35;28;31;28;13;34;19;23;24;0;0;0;0;0;;2;3;1;0;43%;42%;34%;0%;12
20;2;I.E. Nº 5146;2do;2;2;63;55;44;21;33;37;31;33;25;24;30;27;10;21;7;12;12;0;0;0;0;0;;2;3;2;0;49%;45%;37%;0%;13
21;2;I.E. N° 5152;2do;1;1;32;32;23;23;16;22;17;26;27;18;14;14;6;19;8;3;10;0;0;0;0;0;;2;4;1;0;55%;59%;34%;0%;15
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";2do;2;2;65;60;54;22;44;43;34;49;37;34;40;39;14;29;21;12;33;0;0;0;0;0;;2;4;2;0;60%;58%;49%;0%;17
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;2do;2;0;51;51;45;17;35;37;34;38;31;26;33;31;14;19;22;20;17;0;0;0;0;0;;2;4;2;0;60%;54%;51%;0%;16
24;2;I.E. COPRODELI SAN MARTIN;2do;1;1;33;33;33;12;21;25;25;29;22;26;24;24;11;25;11;11;12;0;0;0;0;0;;3;4;2;0;64%;61%;51%;0%;17
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;2do;2;2;55;52;41;17;34;39;27;34;31;25;32;23;9;20;15;16;21;0;0;0;0;0;;2;2;1;0;32%;28%;23%;0%;8
26;2;I.E. N° 5156 ELIAS AGUIRRE;2do;2;2;50;49;47;40;39;21;26;22;25;24;22;24;24;31;26;30;26;0;0;0;0;0;;3;4;3;0;69%;58%;51%;0%;17
27;3;IE N° 5087;2do;2;2;63;63;50;27;33;47;27;46;31;27;29;23;14;21;17;14;29;0;0;0;0;0;;2;4;2;0;49%;50%;37%;0%;13
28;3;IE N° 5120;2do;3;3;75;75;64;26;30;40;28;46;39;29;34;35;22;31;27;20;17;0;0;0;0;0;;2;3;1;0;53%;44%;33%;0%;12
29;3;FE Y ALEGRIA N°43;2do;3;3;99;92;85;41;57;74;51;78;71;67;55;71;41;46;33;27;44;0;0;0;0;0;;3;4;2;0;68%;62%;52%;0%;18
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;2do;3;3;90;88;88;71;68;85;69;83;73;73;77;74;39;66;55;48;64;0;0;0;0;0;;3;6;3;0;79%;81%;72%;0%;23
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;2do;2;2;56;55;42;26;39;42;33;36;39;37;38;41;28;38;37;38;39;0;0;0;0;0;;3;5;3;0;67%;66%;69%;0%;10
32;3;IEN°5094 NACIONES UNIDAS;2do;4;4;124;118;89;29;77;77;66;83;84;75;65;57;40;65;49;22;67;0;0;0;0;0;;2;4;2;0;59%;55%;45%;0%;15
33;3;IEN° 5123 FRANCISCO BOLOGNESI;2do;3;3;93;88;62;33;52;58;44;53;44;48;50;49;24;34;29;20;35;0;0;0;0;0;;2;3;2;0;51%;49%;42%;0%;14
34;3;IE N° 3089  “LOS ANGELES”;2do;4;4;101;96;67;42;45;64;37;63;47;47;30;45;18;33;33;20;32;0;0;0;0;0;;2;3;1;0;42%;48%;35%;0%;13
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;2do;4;4;131;129;104;70;72;91;72;104;79;89;80;83;38;63;68;41;59;0;0;0;0;0;;2;5;2;0;58%;62%;50%;0%;17
36;3;IE 5121 “PEDRO PLANA SILVA”;2do;3;3;101;93;37;22;18;31;14;35;21;24;25;29;10;22;9;11;18;0;0;0;0;0;;1;1;1;0;17%;17%;13%;0%;5
37;4;IE N° 5098 KUMAMOTO;2do;2;2;64;58;42;22;26;34;37;34;28;27;25;27;14;28;20;14;19;0;0;0;0;0;;2;4;2;0;47%;47%;42%;0%;14
38;4;IE N° 5119 VILLA EMILIA;2do;3;3;104;92;75;65;66;76;60;75;63;65;66;67;43;58;68;62;65;0;0;0;0;0;;3;5;3;0;67%;74%;69%;0%;21
39;4;IE N° 5130-2 VILLA DEL MAR;2do;1;1;32;32;31;20;30;15;17;24;12;16;7;12;10;11;8;7;10;0;0;0;0;0;;2;4;1;0;47%;55%;36%;0%;14
40;4;IE N° 5130-4 CHAVINILLO;2do;4;4;49;48;34;7;27;29;28;32;24;18;21;22;24;19;19;18;21;0;0;0;0;0;;2;3;2;0;48%;40%;43%;0%;13
41;4;IE N° 5135 LA SALLE;2do;2;2;58;55;41;16;30;35;29;30;28;16;20;25;13;18;18;12;18;0;0;0;0;0;;2;2;2;0;40%;31%;28%;0%;13
42;4;IE FE Y ALEGRIA N° 33;2do;4;4;123;113;95;41;62;73;45;74;60;51;71;63;27;57;41;30;43;0;0;0;0;0;;2;4;2;0;56%;51%;40%;0%;14
43;4;IE MANUEL SEOANE C.;2do;7;0;264;248;179;104;159;134;125;147;102;126;125;95;80;94;85;108;94;0;0;0;0;0;;2;3;2;0;49%;48%;42%;0%;14
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";2do;2;2;74;64;53;31;39;44;37;51;40;32;36;43;18;29;27;30;35;0;0;0;0;0;;2;4;3;0;57%;57%;57%;0%;17
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";2do;5;5;171;162;134;69;92;118;87;125;102;85;95;92;45;75;51;64;76;0;0;0;0;0;;1;2;1;0;30%;29%;25%;0%;8
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;2do;5;5;150;144;111;55;80;95;68;89;68;57;58;71;40;58;52;35;43;0;0;0;0;0;;2;3;2;0;47%;48%;38%;0%;13
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";2do;7;7;213;209;181;126;144;159;127;164;143;131;128;132;79;121;84;60;91;0;0;0;0;0;;3;4;2;0;64%;63%;49%;0%;17
48;5;I.E. N° 5096;2do;3;3;110;100;71;59;57;71;70;81;67;64;71;70;47;75;51;55;54;0;0;0;0;0;;3;4;3;0;63%;64%;61%;0%;19
49;5;I.E. N° 5137;2do;2;2;66;62;46;14;35;31;23;28;25;13;19;26;10;11;7;11;10;0;0;0;0;0;;1;2;1;0;25%;19%;17%;0%;6
50;5;I.E. NUESTRA SEÑORA DE BELÉN;2do;3;3;98;90;70;34;47;61;53;56;49;39;44;52;30;49;46;30;34;0;0;0;0;0;;2;4;2;0;54%;53%;47%;0%;15
51;5;I.E. FE Y ALEGRÍA 29;2do;3;3;89;87;78;43;60;69;50;69;49;55;59;57;28;43;35;22;40;0;0;0;0;0;;3;4;2;0;61%;61%;48%;0%;17
52;6;I.E. Nº 4021;2do;4;4;123;100;66;41;41;50;27;54;45;35;30;47;15;30;36;23;20;0;0;0;0;0;;2;3;1;0;39%;44%;33%;0%;11
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";2do;2;2;72;72;49;26;33;41;27;39;32;25;21;32;18;29;18;14;16;0;0;0;0;0;;2;3;1;0;42%;42%;31%;0%;12
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";2do;4;4;120;134;108;57;95;102;73;106;90;71;86;85;57;83;66;56;68;0;0;0;0;0;;3;5;2;0;66%;65%;56%;0%;18
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";2do;3;3;110;98;84;50;63;62;50;77;68;48;51;59;34;52;34;32;35;0;0;0;0;0;;2;4;2;0;60%;56%;45%;0%;16
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";2do;3;3;70;63;49;28;41;52;33;44;34;41;43;42;22;37;21;20;25;0;0;0;0;0;;3;4;2;0;59%;60%;48%;0%;17
57;7;IE 5091 HIJOS DE GRAU;2do;2;2;78;72;68;23;38;50;47;49;37;36;37;44;16;31;28;35;34;0;0;0;0;0;;2;4;3;0;49%;48%;57%;0%;16
58;7;IE N 5086 POLITECNICO DE VENTANILLA;2do;3;3;99;97;81;47;54;73;54;72;54;58;62;63;34;48;33;31;41;0;0;0;0;0;;2;4;2;0;60%;58%;50%;0%;17
59;7;IE N° 5130-1;2do;3;3;93;84;67;30;47;56;39;58;39;45;53;47;22;47;31;29;35;0;0;0;0;0;;2;4;2;0;54%;54%;44%;0%;15
60;7;IE. N° 5130-3 VRHT;2do;2;2;53;49;42;26;34;34;36;30;27;28;31;29;23;34;24;18;29;0;0;0;0;0;;3;5;5;0;64%;62%;57%;0%;19
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;2do;5;5;159;141;97;46;81;93;65;83;58;88;79;76;40;55;56;46;72;0;0;0;0;0;;2;4;2;0;48%;51%;46%;0%;14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;5748;5434;4,175;2,255;3,136;3,552;2,811;3,667;2,988;2,798;2,924;2,980;1,597;2,535;2,028;1,715;2,212;0;0;0;0;0;;2;4;2;0;52%;49%;42%;5%;14
PORCENTAJES POR ITEMS;;;;;;;;77%;41%;58%;65%;52%;67%;55%;51%;54%;55%;29%;47%;37%;32%;41%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C1;C1;C3;C3;C2;C2;C2;C4;C4;;;;;;;;;;;;C1;C2;C3;C4;C1;C2;C3;C4;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";2do;3;3;65;48;15;16;31;26;40;18;10;21;9;20;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;43%;33%;67%;30%;9
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";2do;3;3;99;96;31;52;58;56;85;41;11;64;43;51;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;49%;40%;73%;49%;10
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";2do;4;4;150;150;52;71;62;72;100;44;41;67;31;57;0;0;0;0;0;0;0;0;0;0;;2;1;2;1;44%;37%;61%;32%;9
4;1;"I.E. Nº 5125 ""CASUARINAS""";2do;4;4;138;130;63;85;76;83;107;59;64;74;29;57;0;0;0;0;0;0;0;0;0;0;;2;1;2;1;58%;50%;74%;33%;11
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;2do;5;5;162;153;60;79;80;69;135;71;37;97;22;59;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;42%;36%;55%;22%;8
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";2do;4;4;128;125;60;92;79;77;112;60;33;88;26;77;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;61%;48%;75%;41%;11
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";2do;5;5;173;161;68;83;81;76;108;78;57;97;41;63;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;48%;47%;65%;28%;9
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;2do;3;2;73;80;49;42;60;33;53;49;49;48;18;40;0;0;0;0;0;0;0;0;0;0;;1;2;1;1;47%;58%;38%;269%;17
9;1;I.E. 5141;2do;2;2;69;90;43;44;46;45;59;45;29;49;40;42;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;49%;45%;58%;46%;10
10;1;I.E. Nº  5147;2do;2;2;56;50;20;21;34;22;44;22;7;30;7;24;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;50%;39%;66%;31%;9
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;2do;1;1;35;35;17;25;29;27;33;23;24;28;11;22;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;68%;71%;86%;47%;14
12;1;I.E. N° 5154;2do;1;1;36;30;12;17;20;21;26;15;16;21;2;15;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;0%;0%;0%;0%;11
13;1;I.E. FE Y ALEGRIA 59;2do;3;3;93;93;56;61;67;66;87;55;44;68;34;65;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;66%;60%;82%;53%;13
14;1;I.E. SAN JUAN MACIAS;2do;1;1;32;32;13;20;21;21;29;14;19;25;9;17;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;56%;60%;78%;41%;12
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;2do;3;3;94;100;48;52;58;47;74;29;42;62;24;47;0;0;0;0;0;0;0;0;0;0;;1;1;1;0;29%;21%;27%;19%;5
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";2do;5;5;137;122;75;77;86;73;90;50;70;76;50;60;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;68%;56%;72%;48%;12
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";2do;5;5;141;135;62;93;86;77;122;61;52;99;39;80;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;59%;52%;73%;44%;11
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";2do;2;2;24;50;24;24;25;24;40;21;16;26;10;24;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;50%;43%;65%;34%;10
19;2;"I.E. Nº 5145 ""BALNEARIO""";2do;3;3;95;79;25;28;30;27;46;36;25;27;20;35;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;36%;35%;51%;32%;8
20;2;I.E. Nº 5146;2do;1;1;27;45;10;17;17;15;19;11;8;8;2;13;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0%;0%;0%;0%;0
21;2;I.E. N° 5152;2do;1;1;32;32;16;25;28;30;30;22;14;26;20;24;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;74%;67%;97%;71%;15
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";2do;2;2;63;61;35;41;49;49;57;40;36;46;19;53;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;69%;67%;87%;59%;14
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;2do;2;0;51;51;17;29;24;34;43;31;16;43;14;29;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;48%;61%;79%;44%;11
24;2;I.E. COPRODELI SAN MARTIN;2do;1;1;33;33;31;25;26;22;28;26;22;23;12;31;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;83%;72%;76%;65%;15
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;2do;2;2;55;51;27;28;41;33;47;29;21;40;11;33;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;63%;59%;78%;43%;13
26;2;I.E. N° 5156 ELIAS AGUIRRE;2do;2;2;50;40;28;14;20;34;25;2;19;20;25;36;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;68%;38%;54%;54%;11
27;3;IE N° 5087;2do;2;2;63;63;35;40;37;29;37;29;25;22;25;28;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;60%;41%;52%;43%;10
28;3;IE N° 5120;2do;3;3;76;76;26;37;51;40;60;38;39;48;30;29;0;0;0;0;0;0;0;0;0;0;;1;2;1;1;50%;55%;66%;40%;11
29;3;FE Y ALEGRIA N°43;2do;3;3;99;96;66;67;61;80;86;39;27;72;17;63;0;0;0;0;0;0;0;0;0;0;;2;1;2;1;67%;48%;87%;42%;12
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;2do;3;3;90;85;69;78;78;69;83;63;50;78;43;76;0;0;0;0;0;0;0;0;0;0;;3;2;2;1;87%;74%;89%;69%;16
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;2do;2;2;56;55;32;38;32;40;48;36;29;37;32;42;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;62%;62%;80%;67%;14
32;3;IEN°5094 NACIONES UNIDAS;2do;4;4;124;118;70;56;70;76;84;45;51;70;43;58;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;55%;47%;68%;42%;11
33;3;IEN° 5123 FRANCISCO BOLOGNESI;2do;3;3;93;89;36;49;55;41;69;38;88;50;10;59;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;52%;66%;62%;38%;11
34;3;IE N° 3089  “LOS ANGELES”;2do;4;4;100;97;28;35;47;42;79;29;31;56;12;47;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;39%;41%;64%;32%;9
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;2do;4;4;131;127;77;85;92;91;109;82;50;97;53;75;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;67%;60%;79%;51%;13
36;3;IE 5121 “PEDRO PLANA SILVA”;2do;3;3;101;93;21;23;31;26;46;20;15;35;4;23;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;45%;39%;64%;28%;9
37;4;IE N° 5098 KUMAMOTO;2do;2;2;64;58;32;33;39;43;52;28;21;44;12;18;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;59%;52%;79%;25%;11
38;4;IE N° 5119 VILLA EMILIA;2do;3;3;104;97;64;69;69;66;94;83;43;73;33;64;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;70%;68%;82%;50%;13
39;4;IE N° 5130-2 VILLA DEL MAR;2do;1;1;32;19;19;8;18;16;17;15;6;6;2;5;0;0;0;0;0;0;0;0;0;0;;2;1;2;0;79%;47%;87%;18%;12
40;4;IE N° 5130-4 CHAVINILLO;2do;4;4;49;47;24;26;31;31;36;29;17;29;18;22;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;51%;46%;66%;46%;11
41;4;IE N° 5135 LA SALLE;2do;2;2;58;53;17;30;29;32;40;22;23;33;11;22;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;50%;55%;44%;29%;11
42;4;IE FE Y ALEGRIA N° 33;2do;4;4;124;107;50;45;47;60;97;56;41;81;20;60;0;0;0;0;0;0;0;0;0;0;;1;2;2;1;44%;56%;74%;37%;11
43;4;IE MANUEL SEOANE C.;2do;7;0;264;247;128;148;152;129;173;130;62;138;118;104;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;57%;45%;61%;45%;7
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";2do;2;2;74;64;28;37;47;37;63;31;45;49;24;41;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;59%;66%;78%;51%;13
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";2do;5;5;166;159;80;114;100;87;140;84;67;97;25;98;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;61%;51%;71%;38%;11
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;2do;5;5;150;140;73;71;77;77;120;73;57;81;31;77;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;53%;50%;70%;38%;10
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";2do;7;7;213;209;141;143;157;142;191;125;91;164;90;121;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;71%;61%;80%;51%;13
48;5;I.E. N° 5096;2do;3;2;110;98;45;69;67;63;90;46;34;73;31;51;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;61%;52%;77%;42%;11
49;5;I.E. N° 5137;2do;2;2;66;58;20;24;34;30;52;18;8;20;4;26;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;45%;26%;71%;26%;8
50;5;I.E. NUESTRA SEÑORA DE BELÉN;2do;3;3;99;94;36;38;54;49;82;42;57;55;21;49;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;46%;55%;69%;37%;10
51;5;I.E. FE Y ALEGRÍA 29;2do;3;3;89;83;53;54;58;53;81;55;25;60;11;52;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;66%;36%;51%;38%;12
52;6;I.E. Nº 4021;2do;4;4;125;97;24;54;45;47;84;31;29;50;23;36;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;41%;38%;66%;30%;9
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";2do;2;2;72;74;25;28;43;24;52;29;17;36;14;32;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;44%;37%;52%;31%;8
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";2do;4;4;120;134;83;105;88;103;114;81;49;94;52;85;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;71%;58%;83%;55%;13
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";2do;3;3;110;97;54;56;61;54;92;52;25;72;31;58;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;59%;51%;76%;46%;11
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";2do;3;3;70;64;31;47;40;42;55;30;25;47;16;32;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;62%;54%;76%;39%;12
57;7;IE 5091 HIJOS DE GRAU;2do;2;2;78;61;30;21;33;36;50;22;10;42;13;17;0;0;0;0;0;0;0;0;0;0;;2;1;2;1;47%;41%;71%;25%;9
58;7;IE N 5086 POLITECNICO DE VENTANILLA;2do;3;3;99;97;48;63;60;65;82;58;48;62;39;61;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;59%;58%;77%;53%;12
59;7;IE N° 5130-1;2do;3;3;93;85;41;51;47;53;72;37;29;51;26;46;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;54%;45%;73%;42%;11
60;7;IE. N° 5130-3 VRHT;2do;2;2;53;50;21;14;18;18;23;22;15;21;14;13;0;0;0;0;0;0;0;0;0;0;;2;2;2;1;68%;74%;79%;52%;14
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;2do;5;5;159;149;67;67;83;76;126;52;39;85;31;61;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;48%;40%;69%;31%;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;5685;5412;2,651;3,084;3,285;3,126;4,418;2,622;2,070;3,401;1,547;2,825;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;55%;49%;68%;44%;11
PORCENTAJES POR ITEMS;;;;;;;;49%;57%;61%;58%;82%;48%;38%;63%;29%;52%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
