N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,3ro,1.0,1.0,30.0,29,16,14,22,13,15,14,21,12,13,20,5,23,18,19,12,0,0,0,0,0,3,2.0,2.0,2.0,55,52,55,56,16.0
12,1.0,I.E. N° 5154,3ro,0.0,1.0,29.0,24,17,8,15,6,10,11,12,12,7,14,5,13,9,16,3,0,0,0,0,0,2,2.0,1.0,1.0,47,44,44,39,13.0
13,1.0,I.E. FE Y ALEGRIA 59,3ro,2.0,2.0,70.0,70,59,40,54,30,42,49,49,52,51,58,35,53,57,57,48,0,0,0,0,0,3,3.0,2.0,2.0,64,72,70,77,21.0
14,1.0,I.E. SAN JUAN MACIAS,3ro,1.0,1.0,31.0,31,26,22,28,14,20,19,21,25,21,27,5,24,27,27,24,0,0,0,0,0,3,2.0,1.0,2.0,50,49,42,59,15.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,3ro,2.0,2.0,78.0,69,43,25,54,23,26,38,43,47,38,66,27,43,45,58,25,0,0,0,0,0,3,3.0,2.0,2.0,50,60,66,62,18.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",3ro,5.0,5.0,169.0,151,109,73,117,68,70,85,103,103,100,124,52,100,106,105,65,0,0,0,0,0,3,2.0,2.0,2.0,57,63,60,60,18.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",3ro,5.0,5.0,150.0,137,105,60,92,46,46,93,81,75,59,120,13,76,73,85,38,0,0,0,0,0,3,2.0,1.0,1.0,53,57,51,47,16.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",3ro,2.0,1.0,54.0,42,26,24,24,16,8,22,32,12,20,32,4,28,20,18,4,0,0,0,0,0,2,2.0,2.0,1.0,47,51,51,33,14.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",3ro,2.0,2.0,71.0,58,31,24,33,26,23,34,33,27,35,47,12,35,40,32,24,0,0,0,0,0,2,2.0,2.0,2.0,47,55,54,55,16.0
20,2.0,I.E. Nº 5146,3ro,2.0,2.0,66.0,61,40,34,49,21,21,42,33,31,34,51,18,39,42,45,31,0,0,0,0,0,3,3.0,2.0,2.0,54,56,59,64,18.0
21,2.0,I.E. N° 5152,3ro,1.0,0.0,31.0,29,21,8,26,10,11,12,15,16,20,25,16,17,19,15,0,0,0,0,0,0,3,2.0,2.0,1.0,5200,5400,6700,4700,16.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",3ro,2.0,2.0,67.0,67,51,36,44,18,35,48,49,37,38,57,14,45,49,53,29,0,0,0,0,0,3,3.0,2.0,2.0,55,64,58,66,18.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,3ro,2.0,0.0,57.0,57,45,31,39,27,42,35,40,43,38,52,28,41,46,47,35,0,0,0,0,0,4,3.0,2.0,2.0,71,71,74,77,22.0
24,2.0,I.E. COPRODELI SAN MARTIN,3ro,1.0,1.0,33.0,32,26,19,26,16,18,18,18,25,22,30,7,18,23,23,10,0,0,0,0,0,3,3.0,2.0,2.0,66,65,57,58,19.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,3ro,2.0,2.0,60.0,55,45,29,43,24,19,30,34,36,36,51,9,44,35,44,24,0,0,0,0,0,3,3.0,2.0,2.0,58,62,63,62,19.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,3ro,2.0,2.0,66.0,60,39,24,36,14,20,30,34,28,31,49,14,36,30,36,12,0,0,0,0,0,2,2.0,2.0,1.0,44,51,54,44,15.0
27,3.0,IE N° 5087,3ro,3.0,3.0,77.0,75,47,34,51,22,29,35,44,35,44,63,20,42,36,41,34,0,0,0,0,0,2,2.0,2.0,2.0,49,52,55,48,15.0
28,3.0,IE N° 5120,3ro,2.0,2.0,56.0,56,42,30,41,20,29,31,36,25,36,45,7,36,37,38,30,0,0,0,0,0,3,2.0,2.0,2.0,58,57,52,62,17.0
29,3.0,FE Y ALEGRIA N°43,3ro,3.0,3.0,93.0,91,77,53,79,41,52,69,55,57,63,88,35,62,80,79,45,0,0,0,0,0,3,3.0,2.0,2.0,66,67,67,74,21.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,3ro,3.0,3.0,98.0,95,67,57,84,46,59,64,72,68,71,86,19,69,75,78,59,0,0,0,0,0,4,3.0,2.0,2.0,66,72,61,74,20.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,3ro,2.0,2.0,26.0,44,27,18,34,15,24,28,28,23,26,32,13,35,30,33,23,0,0,0,0,0,3,2.0,2.0,2.0,54,60,61,65,18.0
32,3.0,IEN°5094 NACIONES UNIDAS,3ro,4.0,4.0,116.0,115,74,58,87,39,34,66,55,66,60,82,16,44,62,71,36,0,0,0,0,0,3,2.0,1.0,2.0,51,54,42,49,15.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,3ro,2.0,2.0,75.0,74,61,42,59,24,39,44,61,48,49,53,11,46,57,59,48,0,0,0,0,0,3,3.0,1.0,2.0,61,68,50,74,19.0
34,3.0,IE N° 3089  LOS ANGELES,3ro,4.0,4.0,125.0,120,80,51,90,48,44,74,75,76,71,101,8,70,92,82,43,0,0,0,0,0,3,3.0,1.0,2.0,53,63,50,60,17.0
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,3ro,5.0,5.0,121.0,144,110,82,108,65,77,95,96,94,91,109,48,97,95,95,81,0,0,0,0,0,3,3.0,2.0,2.0,62,65,59,63,19.0
36,3.0,IE 5121 PEDRO PLANA SILVA,3ro,3.0,3.0,96.0,90,53,48,68,38,38,58,51,45,53,75,27,51,48,56,39,0,0,0,0,0,1,1.0,1.0,1.0,24,25,26,26,8.0
37,4.0,IE N° 5098 KUMAMOTO,3ro,2.0,2.0,71.0,66,50,21,49,28,20,35,37,27,34,49,8,30,36,36,17,0,0,0,0,0,3,2.0,2.0,1.0,54,53,46,47,16.0
38,4.0,IE N° 5119 VILLA EMILIA,3ro,4.0,4.0,124.0,98,71,58,62,66,53,58,63,66,63,82,32,55,59,52,58,0,0,0,0,0,3,3.0,2.0,2.0,61,63,58,59,18.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,3ro,1.0,1.0,30.0,30,16,15,13,21,24,23,24,20,21,19,23,25,23,18,18,0,0,0,0,0,3,3.0,2.0,2.0,59,73,74,66,20.0
40,4.0,IE N° 5130-4 CHAVINILLO,3ro,3.0,3.0,75.0,73,48,35,54,33,42,42,46,40,49,55,38,49,46,43,40,0,0,0,0,0,2,2.0,1.0,1.0,40,41,43,42,12.0
41,4.0,IE N° 5135 LA SALLE,3ro,2.0,2.0,62.0,53,24,26,34,12,20,34,24,28,24,47,14,36,34,34,16,0,0,0,0,0,2,2.0,2.0,1.0,36,43,50,42,13.0
42,4.0,IE FE Y ALEGRIA N° 33,3ro,4.0,4.0,136.0,132,112,71,107,48,60,88,94,103,94,121,25,77,102,106,59,0,0,0,0,0,3,3.0,2.0,2.0,60,72,56,67,19.0
43,4.0,IE MANUEL SEOANE C.,3ro,7.0,0.0,282.0,240,144,129,148,90,91,131,150,138,133,204,47,155,147,159,80,0,0,0,0,0,3,2.0,2.0,2.0,50,57,57,54,16.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",3ro,3.0,3.0,97.0,85,69,48,62,11,40,49,65,55,47,49,36,50,47,36,20,0,0,0,0,0,2,2.0,2.0,1.0,52,61,53,40,16.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",3ro,4.0,4.0,135.0,133,71,59,81,51,63,62,73,73,87,97,17,86,85,87,60,0,0,0,0,0,2,2.0,1.0,2.0,48,55,50,58,16.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,3ro,6.0,6.0,181.0,161,104,77,104,53,50,82,93,89,92,131,28,97,100,105,66,0,0,0,0,0,2,2.0,2.0,2.0,48,56,52,56,16.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",3ro,7.0,7.0,211.0,200,118,100,157,74,94,112,130,106,111,131,72,136,119,126,83,0,0,0,0,0,3,2.0,2.0,2.0,54,57,57,55,17.0
48,5.0,I.E. N° 5096,3ro,3.0,3.0,105.0,102,79,79,75,56,80,15,65,71,67,79,59,71,65,54,47,0,0,0,0,0,4,2.0,2.0,2.0,73,54,68,54,19.0
49,5.0,I.E. N° 5137,3ro,2.0,2.0,60.0,56,27,29,31,14,23,20,27,25,21,44,10,35,18,29,19,0,0,0,0,0,3,2.0,2.0,2.0,45,42,53,40,14.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,3ro,3.0,3.0,84.0,81,61,37,52,34,28,48,58,39,49,68,12,51,47,61,43,0,0,0,0,0,3,2.0,2.0,2.0,52,60,54,62,17.0
51,5.0,I.E. FE Y ALEGRÍA 29,3ro,3.0,3.0,95.0,89,62,52,77,40,45,63,65,61,66,81,12,52,74,75,42,0,0,0,0,0,3,3.0,2.0,2.0,62,71,54,72,20.0
52,6.0,I.E. Nº 4021,3ro,3.0,3.0,99.0,84,47,35,65,39,30,41,44,38,47,75,6,56,40,51,24,0,0,0,0,0,2,2.0,2.0,1.0,51,50,55,46,15.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",3ro,2.0,2.0,74.0,74,53,39,51,22,27,37,46,37,42,60,12,51,45,49,33,0,0,0,0,0,3,2.0,2.0,2.0,52,54,55,58,16.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",3ro,4.0,4.0,122.0,142,98,76,90,69,79,91,79,81,89,86,80,81,97,73,62,0,0,0,0,0,3,3.0,2.0,2.0,60,63,60,59,18.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",3ro,4.0,4.0,126.0,116,76,70,82,45,58,64,90,67,76,106,23,75,75,82,39,0,0,0,0,0,2,3.0,2.0,2.0,42,64,59,56,18.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",3ro,4.0,3.0,81.0,99,58,41,57,33,38,43,46,41,54,69,33,47,64,67,26,0,0,0,0,0,3,2.0,2.0,2.0,51,51,57,62,17.0
57,7.0,IE 5091 HIJOS DE GRAU,3ro,3.0,3.0,91.0,88,36,32,44,26,24,39,37,36,48,61,11,58,47,47,25,0,0,0,0,0,2,2.0,2.0,2.0,39,49,53,48,14.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,3ro,4.0,4.0,132.0,130,92,76,94,58,52,90,83,82,81,108,27,93,96,99,58,0,0,0,0,0,3,3.0,2.0,2.0,57,65,59,65,18.0
59,7.0,IE N° 5130-1,3ro,3.0,3.0,93.0,82,59,41,70,46,46,55,52,50,54,61,34,52,57,64,46,0,0,0,0,0,3,3.0,2.0,2.0,64,65,61,68,19.0
60,7.0,IE. N° 5130-3 VRHT,3ro,2.0,2.0,53.0,52,28,27,35,20,22,29,21,27,29,31,8,31,35,37,18,0,0,0,0,0,3,2.0,2.0,2.0,51,51,45,58,16.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,3ro,4.0,3.0,129.0,115,80,63,82,51,50,79,66,55,72,101,48,69,58,69,32,0,0,0,0,0,3,3.0,2.0,2.0,57,59,63,45,17.0
