N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
11,1.0,IE Nº 5148 - LAS BRISAS DE PACHACÚTEC,1ro,1.0,1.0,28.0,28,22,16,19,27,20,10,18,14,21,22,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,81,52,70,70,14.0
12,1.0,I.E. N° 5154,1ro,1.0,1.0,36.0,29,12,4,10,19,11,4,20,6,20,20,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,47,24,69,69,9.0
13,1.0,I.E. FE Y ALEGRIA 59,1ro,2.0,2.0,68.0,68,60,56,45,64,46,14,51,36,37,49,0,0,0,0,0,0,0,0,0,0,3,2.0,2.0,2.0,83,47,65,65,14.0
14,1.0,I.E. SAN JUAN MACIAS,1ro,2.0,2.0,57.0,57,52,48,26,52,23,37,46,31,47,36,0,0,0,0,0,0,0,0,0,0,3,2.0,2.0,2.0,76,54,82,82,14.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,1ro,3.0,3.0,85.0,81,52,54,24,67,43,23,57,43,47,51,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,58,45,64,64,11.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",1ro,5.0,5.0,154.0,141,78,67,61,74,46,30,61,44,49,91,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,56,31,44,44,9.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",1ro,5.0,5.0,154.0,150,120,98,110,92,69,79,77,71,76,118,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,77,60,64,64,14.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",1ro,2.0,2.0,67.0,52,40,29,30,36,21,14,14,6,23,36,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,69,26,35,35,10.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",1ro,2.0,2.0,77.0,68,40,48,18,47,8,25,30,18,24,27,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,53,25,41,41,6.0
20,2.0,I.E. Nº 5146,1ro,2.0,2.0,53.0,48,37,35,27,39,26,18,32,18,31,41,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,2.0,66,41,63,63,12.0
21,2.0,I.E. N° 5152,1ro,2.0,0.0,45.0,42,33,21,26,28,7,13,19,12,31,28,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,1.0,68,30,34,68,6.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",1ro,2.0,2.0,67.0,66,63,34,55,59,28,22,40,31,52,59,0,0,0,0,0,0,0,0,0,0,3,1.0,2.0,2.0,90,41,70,70,14.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,1ro,2.0,0.0,56.0,56,40,31,37,40,34,35,37,26,41,46,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,44,36,44,44,8.0
24,2.0,I.E. COPRODELI SAN MARTIN,1ro,1.0,1.0,34.0,34,29,32,31,31,30,33,27,28,23,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,1ro,2.0,2.0,60.0,55,46,34,25,27,17,32,33,22,35,32,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,60,43,63,63,11.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,1ro,2.0,2.0,50.0,40,28,14,20,34,25,2,19,20,25,36,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,68,38,54,54,11.0
27,3.0,IE N° 5087,1ro,2.0,2.0,58.0,51,40,40,24,30,38,37,21,31,34,42,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,2.0,63,68,54,54,13.0
28,3.0,IE N° 5120,1ro,2.0,2.0,60.0,60,21,41,12,20,16,19,9,9,11,30,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,2.0,30,25,17,17,7.0
29,3.0,FE Y ALEGRIA N°43,1ro,4.0,4.0,108.0,106,93,86,78,91,63,46,54,34,75,98,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,82,45,61,61,14.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,1ro,3.0,3.0,77.0,66,58,55,60,64,47,48,52,51,42,58,0,0,0,0,0,0,0,0,0,0,3,2.0,2.0,2.0,92,73,71,71,16.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,1ro,2.0,2.0,48.0,42,27,22,18,24,8,13,15,13,30,30,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,54,27,54,54,10.0
32,3.0,IEN°5094 NACIONES UNIDAS,1ro,4.0,4.0,93.0,87,63,41,44,51,34,43,34,27,42,68,7,5,15,10,12,0,0,0,0,0,2,2.0,1.0,1.0,59,44,46,33,12.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,1ro,2.0,2.0,71.0,70,62,51,40,55,32,26,32,8,44,54,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,75,32,55,55,12.0
34,3.0,IE N° 3089  LOS ANGELES,1ro,4.0,4.0,103.0,98,80,51,57,74,33,28,63,24,73,83,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,73,29,70,70,12.0
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,1ro,4.0,4.0,112.0,112,108,98,93,76,78,94,74,89,69,94,0,0,0,0,0,0,0,0,0,0,3,3.0,2.0,2.0,81,77,63,63,15.0
36,3.0,IE 5121 PEDRO PLANA SILVA,1ro,3.0,3.0,74.0,68,50,40,31,54,25,22,24,17,41,26,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,44,22,33,33,7.0
37,4.0,IE N° 5098 KUMAMOTO,1ro,2.0,2.0,75.0,69,52,28,25,53,20,15,45,24,45,55,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,64,28,65,65,11.0
38,4.0,IE N° 5119 VILLA EMILIA,1ro,3.0,3.0,94.0,89,61,35,31,58,27,28,24,23,42,68,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,56,29,37,37,9.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,1ro,1.0,1.0,20.0,19,16,15,13,14,9,8,8,6,5,15,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,75,40,34,34,11.0
40,4.0,IE N° 5130-4 CHAVINILLO,1ro,3.0,3.0,59.0,60,51,35,43,54,31,18,30,37,43,48,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,82,47,59,59,13.0
41,4.0,IE N° 5135 LA SALLE,1ro,2.0,2.0,58.0,50,40,27,39,40,36,14,27,9,35,40,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,2.0,79,40,62,62,13.0
42,4.0,IE FE Y ALEGRIA N° 33,1ro,5.0,5.0,151.0,134,98,80,82,96,61,39,76,37,92,107,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,68,34,63,63,11.0
43,4.0,IE MANUEL SEOANE C.,1ro,7.0,0.0,261.0,242,192,137,108,158,66,92,80,70,120,140,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,58,28,39,39,9.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",1ro,2.0,2.0,69.0,60,50,46,49,47,37,17,31,21,29,53,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0,2.0,81,41,49,49,13.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",1ro,4.0,4.0,99.0,122,89,66,76,88,42,52,66,56,82,96,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,70,41,61,61,12.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,1ro,4.0,4.0,120.0,110,80,47,64,79,30,45,64,38,67,81,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,67,34,60,60,11.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",1ro,7.0,7.0,216.0,193,116,61,86,85,70,64,60,51,90,92,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,50,32,40,40,8.0
48,5.0,I.E. N° 5096,1ro,3.0,1.0,103.0,92,87,66,79,87,72,49,57,40,74,73,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,1.0,88,59,71,71,15.0
49,5.0,I.E. N° 5137,1ro,2.0,2.0,50.0,43,34,29,29,36,16,4,3,19,26,15,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0,1.0,76,30,33,33,10.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,1ro,3.0,3.0,83.0,75,29,18,22,29,9,17,16,7,26,20,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,35,14,28,28,5.0
51,5.0,I.E. FE Y ALEGRÍA 29,1ro,3.0,3.0,94.0,84,67,47,35,69,50,14,33,42,56,65,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,68,43,53,53,11.0
52,6.0,I.E. Nº 4021,1ro,3.0,3.0,104.0,90,76,56,48,78,45,42,42,35,34,53,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,75,45,43,43,12.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",1ro,2.0,2.0,58.0,58,36,28,31,32,30,22,28,35,35,36,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,57,50,54,54,4.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",1ro,4.0,4.0,124.0,133,33,23,29,39,25,24,24,23,31,29,9,9,7,6,11,0,0,0,0,0,1,0.0,1.0,0.0,26,14,19,12,5.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",1ro,4.0,4.0,129.0,116,95,73,76,91,53,55,57,84,93,98,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,2.0,76,56,66,66,14.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",1ro,3.0,3.0,65.0,60,53,45,46,48,41,33,36,21,44,55,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,81,52,65,65,14.0
57,7.0,IE 5091 HIJOS DE GRAU,1ro,2.0,2.0,64.0,59,19,19,17,20,16,17,11,17,20,49,0,0,0,0,0,0,0,0,0,0,7,7.0,1.0,1.0,32,29,27,27,7.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,1ro,4.0,4.0,150.0,148,129,98,107,122,92,87,83,41,108,115,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0,2.0,81,50,65,65,13.0
59,7.0,IE N° 5130-1,1ro,3.0,3.0,96.0,82,70,49,54,69,29,24,47,31,52,66,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,2.0,79,34,61,61,12.0
60,7.0,IE. N° 5130-3 VRHT,1ro,2.0,1.0,25.0,69,47,28,42,60,29,29,24,25,50,40,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,67,26,47,47,9.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,1ro,4.0,4.0,123.0,115,95,69,71,90,53,39,59,34,83,95,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,73,36,61,61,12.0
