N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
13,1.0,I.E. FE Y ALEGRIA 59,2do,3.0,3.0,93.0,93,56,61,67,66,87,55,44,68,34,65,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,66%,60%,82%,53%,13.0
14,1.0,I.E. SAN JUAN MACIAS,2do,1.0,1.0,32.0,32,13,20,21,21,29,14,19,25,9,17,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,56%,60%,78%,41%,12.0
15,1.0,IE Nº 5142  - VIRGEN DE GUADALUPE,2do,3.0,3.0,94.0,100,48,52,58,47,74,29,42,62,24,47,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,29%,21%,27%,19%,5.0
16,2.0,"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""",2do,5.0,5.0,137.0,122,75,77,86,73,90,50,70,76,50,60,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,68%,56%,72%,48%,12.0
17,2.0,"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""",2do,5.0,5.0,141.0,135,62,93,86,77,122,61,52,99,39,80,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,59%,52%,73%,44%,11.0
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",2do,2.0,2.0,24.0,50,24,24,25,24,40,21,16,26,10,24,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,50%,43%,65%,34%,10.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",2do,3.0,3.0,95.0,79,25,28,30,27,46,36,25,27,20,35,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,36%,35%,51%,32%,8.0
20,2.0,I.E. Nº 5146,2do,1.0,1.0,27.0,45,10,17,17,15,19,11,8,8,2,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0%,0%,0%,0%,0.0
21,2.0,I.E. N° 5152,2do,1.0,1.0,32.0,32,16,25,28,30,30,22,14,26,20,24,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,74%,67%,97%,71%,15.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",2do,2.0,2.0,63.0,61,35,41,49,49,57,40,36,46,19,53,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,69%,67%,87%,59%,14.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,2do,2.0,0.0,51.0,51,17,29,24,34,43,31,16,43,14,29,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,48%,61%,79%,44%,11.0
24,2.0,I.E. COPRODELI SAN MARTIN,2do,1.0,1.0,33.0,33,31,25,26,22,28,26,22,23,12,31,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,83%,72%,76%,65%,15.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,2do,2.0,2.0,55.0,51,27,28,41,33,47,29,21,40,11,33,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,63%,59%,78%,43%,13.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,2do,2.0,2.0,50.0,40,28,14,20,34,25,2,19,20,25,36,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,68%,38%,54%,54%,11.0
27,3.0,IE N° 5087,2do,2.0,2.0,63.0,63,35,40,37,29,37,29,25,22,25,28,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,60%,41%,52%,43%,10.0
28,3.0,IE N° 5120,2do,3.0,3.0,76.0,76,26,37,51,40,60,38,39,48,30,29,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,1.0,50%,55%,66%,40%,11.0
29,3.0,FE Y ALEGRIA N°43,2do,3.0,3.0,99.0,96,66,67,61,80,86,39,27,72,17,63,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,1.0,67%,48%,87%,42%,12.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,2do,3.0,3.0,90.0,85,69,78,78,69,83,63,50,78,43,76,0,0,0,0,0,0,0,0,0,0,3,2.0,2.0,1.0,87%,74%,89%,69%,16.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,2do,2.0,2.0,56.0,55,32,38,32,40,48,36,29,37,32,42,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,62%,62%,80%,67%,14.0
32,3.0,IEN°5094 NACIONES UNIDAS,2do,4.0,4.0,124.0,118,70,56,70,76,84,45,51,70,43,58,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,55%,47%,68%,42%,11.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,2do,3.0,3.0,93.0,89,36,49,55,41,69,38,88,50,10,59,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,52%,66%,62%,38%,11.0
34,3.0,IE N° 3089  LOS ANGELES,2do,4.0,4.0,100.0,97,28,35,47,42,79,29,31,56,12,47,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,39%,41%,64%,32%,9.0
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,2do,4.0,4.0,131.0,127,77,85,92,91,109,82,50,97,53,75,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,67%,60%,79%,51%,13.0
36,3.0,IE 5121 PEDRO PLANA SILVA,2do,3.0,3.0,101.0,93,21,23,31,26,46,20,15,35,4,23,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,45%,39%,64%,28%,9.0
37,4.0,IE N° 5098 KUMAMOTO,2do,2.0,2.0,64.0,58,32,33,39,43,52,28,21,44,12,18,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,59%,52%,79%,25%,11.0
38,4.0,IE N° 5119 VILLA EMILIA,2do,3.0,3.0,104.0,97,64,69,69,66,94,83,43,73,33,64,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,70%,68%,82%,50%,13.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,2do,1.0,1.0,32.0,19,19,8,18,16,17,15,6,6,2,5,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,0.0,79%,47%,87%,18%,12.0
40,4.0,IE N° 5130-4 CHAVINILLO,2do,4.0,4.0,49.0,47,24,26,31,31,36,29,17,29,18,22,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,51%,46%,66%,46%,11.0
41,4.0,IE N° 5135 LA SALLE,2do,2.0,2.0,58.0,53,17,30,29,32,40,22,23,33,11,22,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,50%,55%,44%,29%,11.0
42,4.0,IE FE Y ALEGRIA N° 33,2do,4.0,4.0,124.0,107,50,45,47,60,97,56,41,81,20,60,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,1.0,44%,56%,74%,37%,11.0
43,4.0,IE MANUEL SEOANE C.,2do,7.0,0.0,264.0,247,128,148,152,129,173,130,62,138,118,104,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,57%,45%,61%,45%,7.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",2do,2.0,2.0,74.0,64,28,37,47,37,63,31,45,49,24,41,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,59%,66%,78%,51%,13.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",2do,5.0,5.0,166.0,159,80,114,100,87,140,84,67,97,25,98,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,61%,51%,71%,38%,11.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,2do,5.0,5.0,150.0,140,73,71,77,77,120,73,57,81,31,77,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,53%,50%,70%,38%,10.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",2do,7.0,7.0,213.0,209,141,143,157,142,191,125,91,164,90,121,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,71%,61%,80%,51%,13.0
48,5.0,I.E. N° 5096,2do,3.0,2.0,110.0,98,45,69,67,63,90,46,34,73,31,51,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,61%,52%,77%,42%,11.0
49,5.0,I.E. N° 5137,2do,2.0,2.0,66.0,58,20,24,34,30,52,18,8,20,4,26,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,45%,26%,71%,26%,8.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,2do,3.0,3.0,99.0,94,36,38,54,49,82,42,57,55,21,49,0,0,0,0,0,0,0,0,0,0,2,2.0,1.0,1.0,46%,55%,69%,37%,10.0
51,5.0,I.E. FE Y ALEGRÍA 29,2do,3.0,3.0,89.0,83,53,54,58,53,81,55,25,60,11,52,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,66%,36%,51%,38%,12.0
52,6.0,I.E. Nº 4021,2do,4.0,4.0,125.0,97,24,54,45,47,84,31,29,50,23,36,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,41%,38%,66%,30%,9.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",2do,2.0,2.0,72.0,74,25,28,43,24,52,29,17,36,14,32,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,44%,37%,52%,31%,8.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",2do,4.0,4.0,120.0,134,83,105,88,103,114,81,49,94,52,85,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,71%,58%,83%,55%,13.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",2do,3.0,3.0,110.0,97,54,56,61,54,92,52,25,72,31,58,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,59%,51%,76%,46%,11.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",2do,3.0,3.0,70.0,64,31,47,40,42,55,30,25,47,16,32,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,62%,54%,76%,39%,12.0
57,7.0,IE 5091 HIJOS DE GRAU,2do,2.0,2.0,78.0,61,30,21,33,36,50,22,10,42,13,17,0,0,0,0,0,0,0,0,0,0,2,1.0,2.0,1.0,47%,41%,71%,25%,9.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,2do,3.0,3.0,99.0,97,48,63,60,65,82,58,48,62,39,61,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,59%,58%,77%,53%,12.0
59,7.0,IE N° 5130-1,2do,3.0,3.0,93.0,85,41,51,47,53,72,37,29,51,26,46,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,54%,45%,73%,42%,11.0
60,7.0,IE. N° 5130-3 VRHT,2do,2.0,2.0,53.0,50,21,14,18,18,23,22,15,21,14,13,0,0,0,0,0,0,0,0,0,0,2,2.0,2.0,1.0,68%,74%,79%,52%,14.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,2do,5.0,5.0,159.0,149,67,67,83,76,126,52,39,85,31,61,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,48%,40%,69%,31%,9.0
