N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
18,2.0,"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""",2do,2.0,2.0,24.0,49.0,30,17,18,28,21,27,20,17,17,25,10,19,11,12,12,0,0,0,0,0,1.0,2.0,1.0,0.0,25,24,22,0,7.0
19,2.0,"I.E. Nº 5145 ""BALNEARIO""",2do,3.0,3.0,95.0,74.0,52,26,37,39,32,43,35,28,31,28,13,34,19,23,24,0,0,0,0,0,2.0,3.0,1.0,0.0,43,42,34,0,12.0
20,2.0,I.E. Nº 5146,2do,2.0,2.0,63.0,55.0,44,21,33,37,31,33,25,24,30,27,10,21,7,12,12,0,0,0,0,0,2.0,3.0,2.0,0.0,49,45,37,0,13.0
21,2.0,I.E. N° 5152,2do,1.0,1.0,32.0,32.0,23,23,16,22,17,26,27,18,14,14,6,19,8,3,10,0,0,0,0,0,2.0,4.0,1.0,0.0,55,59,34,0,15.0
22,2.0,"I.E. ""FE Y ALEGRIA"" Nº 76",2do,2.0,2.0,65.0,60.0,54,22,44,43,34,49,37,34,40,39,14,29,21,12,33,0,0,0,0,0,2.0,4.0,2.0,0.0,60,58,49,0,17.0
23,2.0,I.E. COPRODELI SAN FRANCISCO SOLANO,2do,2.0,0.0,51.0,51.0,45,17,35,37,34,38,31,26,33,31,14,19,22,20,17,0,0,0,0,0,2.0,4.0,2.0,0.0,60,54,51,0,16.0
24,2.0,I.E. COPRODELI SAN MARTIN,2do,1.0,1.0,33.0,33.0,33,12,21,25,25,29,22,26,24,24,11,25,11,11,12,0,0,0,0,0,3.0,4.0,2.0,0.0,64,61,51,0,17.0
25,2.0,I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO,2do,2.0,2.0,55.0,52.0,41,17,34,39,27,34,31,25,32,23,9,20,15,16,21,0,0,0,0,0,2.0,2.0,1.0,0.0,32,28,23,0,8.0
26,2.0,I.E. N° 5156 ELIAS AGUIRRE,2do,2.0,2.0,50.0,49.0,47,40,39,21,26,22,25,24,22,24,24,31,26,30,26,0,0,0,0,0,3.0,4.0,3.0,0.0,69,58,51,0,17.0
27,3.0,IE N° 5087,2do,2.0,2.0,63.0,63.0,50,27,33,47,27,46,31,27,29,23,14,21,17,14,29,0,0,0,0,0,2.0,4.0,2.0,0.0,49,50,37,0,13.0
28,3.0,IE N° 5120,2do,3.0,3.0,75.0,75.0,64,26,30,40,28,46,39,29,34,35,22,31,27,20,17,0,0,0,0,0,2.0,3.0,1.0,0.0,53,44,33,0,12.0
29,3.0,FE Y ALEGRIA N°43,2do,3.0,3.0,99.0,92.0,85,41,57,74,51,78,71,67,55,71,41,46,33,27,44,0,0,0,0,0,3.0,4.0,2.0,0.0,68,62,52,0,18.0
30,3.0, IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA,2do,3.0,3.0,90.0,88.0,88,71,68,85,69,83,73,73,77,74,39,66,55,48,64,0,0,0,0,0,3.0,6.0,3.0,0.0,79,81,72,0,23.0
31,3.0,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,2do,2.0,2.0,56.0,55.0,42,26,39,42,33,36,39,37,38,41,28,38,37,38,39,0,0,0,0,0,3.0,5.0,3.0,0.0,67,66,69,0,10.0
32,3.0,IEN°5094 NACIONES UNIDAS,2do,4.0,4.0,124.0,118.0,89,29,77,77,66,83,84,75,65,57,40,65,49,22,67,0,0,0,0,0,2.0,4.0,2.0,0.0,59,55,45,0,15.0
33,3.0,IEN° 5123 FRANCISCO BOLOGNESI,2do,3.0,3.0,93.0,88.0,62,33,52,58,44,53,44,48,50,49,24,34,29,20,35,0,0,0,0,0,2.0,3.0,2.0,0.0,51,49,42,0,14.0
34,3.0,IE N° 3089  LOS ANGELES,2do,4.0,4.0,101.0,96.0,67,42,45,64,37,63,47,47,30,45,18,33,33,20,32,0,0,0,0,0,2.0,3.0,1.0,0.0,42,48,35,0,13.0
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,2do,4.0,4.0,131.0,129.0,104,70,72,91,72,104,79,89,80,83,38,63,68,41,59,0,0,0,0,0,2.0,5.0,2.0,0.0,58,62,50,0,17.0
36,3.0,IE 5121 PEDRO PLANA SILVA,2do,3.0,3.0,101.0,93.0,37,22,18,31,14,35,21,24,25,29,10,22,9,11,18,0,0,0,0,0,1.0,1.0,1.0,0.0,17,17,13,0,5.0
37,4.0,IE N° 5098 KUMAMOTO,2do,2.0,2.0,64.0,58.0,42,22,26,34,37,34,28,27,25,27,14,28,20,14,19,0,0,0,0,0,2.0,4.0,2.0,0.0,47,47,42,0,14.0
38,4.0,IE N° 5119 VILLA EMILIA,2do,3.0,3.0,104.0,92.0,75,65,66,76,60,75,63,65,66,67,43,58,68,62,65,0,0,0,0,0,3.0,5.0,3.0,0.0,67,74,69,0,21.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,2do,1.0,1.0,32.0,32.0,31,20,30,15,17,24,12,16,7,12,10,11,8,7,10,0,0,0,0,0,2.0,4.0,1.0,0.0,47,55,36,0,14.0
40,4.0,IE N° 5130-4 CHAVINILLO,2do,4.0,4.0,49.0,48.0,34,7,27,29,28,32,24,18,21,22,24,19,19,18,21,0,0,0,0,0,2.0,3.0,2.0,0.0,48,40,43,0,13.0
41,4.0,IE N° 5135 LA SALLE,2do,2.0,2.0,58.0,55.0,41,16,30,35,29,30,28,16,20,25,13,18,18,12,18,0,0,0,0,0,2.0,2.0,2.0,0.0,40,31,28,0,13.0
42,4.0,IE FE Y ALEGRIA N° 33,2do,4.0,4.0,123.0,113.0,95,41,62,73,45,74,60,51,71,63,27,57,41,30,43,0,0,0,0,0,2.0,4.0,2.0,0.0,56,51,40,0,14.0
43,4.0,IE MANUEL SEOANE C.,2do,7.0,0.0,264.0,248.0,179,104,159,134,125,147,102,126,125,95,80,94,85,108,94,0,0,0,0,0,2.0,3.0,2.0,0.0,49,48,42,0,14.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",2do,2.0,2.0,74.0,64.0,53,31,39,44,37,51,40,32,36,43,18,29,27,30,35,0,0,0,0,0,2.0,4.0,3.0,0.0,57,57,57,0,17.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",2do,5.0,5.0,171.0,162.0,134,69,92,118,87,125,102,85,95,92,45,75,51,64,76,0,0,0,0,0,1.0,2.0,1.0,0.0,30,29,25,0,8.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,2do,5.0,5.0,150.0,144.0,111,55,80,95,68,89,68,57,58,71,40,58,52,35,43,0,0,0,0,0,2.0,3.0,2.0,0.0,47,48,38,0,13.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",2do,7.0,7.0,213.0,209.0,181,126,144,159,127,164,143,131,128,132,79,121,84,60,91,0,0,0,0,0,3.0,4.0,2.0,0.0,64,63,49,0,17.0
48,5.0,I.E. N° 5096,2do,3.0,3.0,110.0,100.0,71,59,57,71,70,81,67,64,71,70,47,75,51,55,54,0,0,0,0,0,3.0,4.0,3.0,0.0,63,64,61,0,19.0
49,5.0,I.E. N° 5137,2do,2.0,2.0,66.0,62.0,46,14,35,31,23,28,25,13,19,26,10,11,7,11,10,0,0,0,0,0,1.0,2.0,1.0,0.0,25,19,17,0,6.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,2do,3.0,3.0,98.0,90.0,70,34,47,61,53,56,49,39,44,52,30,49,46,30,34,0,0,0,0,0,2.0,4.0,2.0,0.0,54,53,47,0,15.0
51,5.0,I.E. FE Y ALEGRÍA 29,2do,3.0,3.0,89.0,87.0,78,43,60,69,50,69,49,55,59,57,28,43,35,22,40,0,0,0,0,0,3.0,4.0,2.0,0.0,61,61,48,0,17.0
52,6.0,I.E. Nº 4021,2do,4.0,4.0,123.0,100.0,66,41,41,50,27,54,45,35,30,47,15,30,36,23,20,0,0,0,0,0,2.0,3.0,1.0,0.0,39,44,33,0,11.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",2do,2.0,2.0,72.0,72.0,49,26,33,41,27,39,32,25,21,32,18,29,18,14,16,0,0,0,0,0,2.0,3.0,1.0,0.0,42,42,31,0,12.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",2do,4.0,4.0,120.0,134.0,108,57,95,102,73,106,90,71,86,85,57,83,66,56,68,0,0,0,0,0,3.0,5.0,2.0,0.0,66,65,56,0,18.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",2do,3.0,3.0,110.0,98.0,84,50,63,62,50,77,68,48,51,59,34,52,34,32,35,0,0,0,0,0,2.0,4.0,2.0,0.0,60,56,45,0,16.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",2do,3.0,3.0,70.0,63.0,49,28,41,52,33,44,34,41,43,42,22,37,21,20,25,0,0,0,0,0,3.0,4.0,2.0,0.0,59,60,48,0,17.0
57,7.0,IE 5091 HIJOS DE GRAU,2do,2.0,2.0,78.0,72.0,68,23,38,50,47,49,37,36,37,44,16,31,28,35,34,0,0,0,0,0,2.0,4.0,3.0,0.0,49,48,57,0,16.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,2do,3.0,3.0,99.0,97.0,81,47,54,73,54,72,54,58,62,63,34,48,33,31,41,0,0,0,0,0,2.0,4.0,2.0,0.0,60,58,50,0,17.0
59,7.0,IE N° 5130-1,2do,3.0,3.0,93.0,84.0,67,30,47,56,39,58,39,45,53,47,22,47,31,29,35,0,0,0,0,0,2.0,4.0,2.0,0.0,54,54,44,0,15.0
60,7.0,IE. N° 5130-3 VRHT,2do,2.0,2.0,53.0,49.0,42,26,34,34,36,30,27,28,31,29,23,34,24,18,29,0,0,0,0,0,3.0,5.0,5.0,0.0,64,62,57,0,19.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,2do,5.0,5.0,159.0,141.0,97,46,81,93,65,83,58,88,79,76,40,55,56,46,72,0,0,0,0,0,2.0,4.0,2.0,0.0,48,51,46,0,14.0
