N°,RED,INSTITUCION_EDUCATIVA,GRADO,SECCION,TURNO,NRO_DE_ESTUDIANTES_MATRICULADOS,NRO_DE_ESTUDIANTES_EVALUADOS,P 1,P 2,P 3,P 4,P 5,P 6,P 7,P 8,P 9,P 10,P 11,P 12,P 13,P 14,P 15,P 16,P 17,P 18,P 19,P 20,CAPACIDADES,Unnamed: 30,Unnamed: 31,Unnamed: 32,%_POR_CAPACIDAD,Unnamed: 34,Unnamed: 35,Unnamed: 36,PROMEDIO_X_SECCION
35,3.0,IE N° 5077 FAUSTINO SANCHEZ CARRION,3ro,5.0,5.0,151.0,149.0,68,55,60,66,83,82,71,105,62,90,111,25,94,113,108,47,106,108,10,94,3.0,5.0,3.0,0.0,52,49,62,0,21.0
36,3.0,IE 5121 PEDRO PLANA SILVA,3ro,3.0,3.0,96.0,89.0,43,25,36,35,34,24,28,56,26,48,44,16,46,59,56,42,47,57,11,43,2.0,2.0,2.0,0.0,33,24,33,0,11.0
37,4.0,IE N° 5098 KUMAMOTO,3ro,2.0,2.0,71.0,66.0,29,17,16,18,29,19,22,42,15,30,24,4,34,48,51,28,34,42,3,40,2.0,3.0,3.0,0.0,46,33,58,0,18.0
38,4.0,IE N° 5119 VILLA EMILIA,3ro,4.0,4.0,125.0,118.0,72,58,67,70,66,58,78,91,63,74,83,54,67,84,86,62,71,90,55,63,3.0,6.0,3.0,0.0,62,57,61,0,24.0
39,4.0,IE N° 5130-2 VILLA DEL MAR,3ro,1.0,1.0,30.0,30.0,19,22,22,15,15,21,18,23,15,16,23,23,16,17,23,26,19,22,16,13,3.0,6.0,3.0,0.0,65,63,65,0,26.0
40,4.0,IE N° 5130-4 CHAVINILLO,3ro,3.0,3.0,54.0,72.0,28,15,25,22,28,40,17,38,18,37,38,18,45,53,49,35,44,48,10,36,2.0,4.0,3.0,0.0,47,41,50,0,18.0
41,4.0,IE N° 5135 LA SALLE,3ro,2.0,2.0,62.0,53.0,22,11,12,23,23,15,19,33,14,22,32,11,34,41,35,23,32,43,2,27,2.0,3.0,2.0,0.0,40,31,44,0,15.0
42,4.0,IE FE Y ALEGRIA N° 33,3ro,4.0,4.0,136.0,136.0,65,29,44,58,60,55,46,105,33,79,87,20,83,115,113,79,94,95,18,96,3.0,4.0,3.0,0.0,55,42,63,0,21.0
43,4.0,IE MANUEL SEOANE C.,3ro,7.0,0.0,282.0,237.0,82,59,65,82,72,61,70,162,57,111,119,37,111,160,159,104,136,142,25,121,2.0,3.0,3.0,0.0,44,34,52,0,17.0
44,5.0,"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""",3ro,3.0,3.0,97.0,86.0,51,41,43,49,43,45,44,63,36,41,41,35,44,59,46,41,37,45,14,26,3.0,4.0,2.0,0.0,49,43,51,0,19.0
45,5.0,"I.E. N° 5051 ""VIRGEN DE FATIMA""",3ro,4.0,4.0,134.0,132.0,57,40,56,48,56,38,48,87,30,65,87,11,74,108,98,64,80,100,18,78,3.0,4.0,3.0,0.0,51,40,57,0,19.0
46,5.0,"I.E. N° 5052 ""VIRGEN DE LA MERCED """,3ro,6.0,6.0,181.0,162.0,62,48,50,56,54,62,52,110,39,83,86,23,103,123,111,71,98,110,25,95,2.0,4.0,3.0,0.0,46,38,58,0,19.0
47,5.0,"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""",3ro,7.0,7.0,211.0,204.0,96,66,48,84,80,74,61,130,60,115,136,20,96,149,139,89,126,137,33,122,3.0,4.0,3.0,0.0,51,604,54,0,18.0
48,5.0,I.E. N° 5096,3ro,3.0,3.0,105.0,100.0,68,63,62,66,52,67,64,80,49,79,84,49,69,71,76,56,65,79,33,53,4.0,6.0,3.0,0.0,70,60,68,0,26.0
49,5.0,I.E. N° 5137,3ro,2.0,2.0,60.0,54.0,18,24,14,19,15,14,24,32,21,28,17,13,20,30,28,19,25,34,10,25,2.0,4.0,3.0,0.0,45,34,48,0,16.0
50,5.0,I.E. NUESTRA SEÑORA DE BELÉN,3ro,3.0,3.0,84.0,79.0,36,26,30,21,31,29,26,54,22,45,47,10,55,59,62,52,59,55,6,40,3.0,4.0,3.0,0.0,53,40,60,0,20.0
51,5.0,I.E. FE Y ALEGRÍA 29,3ro,3.0,3.0,95.0,91.0,39,25,30,36,44,37,29,71,18,63,66,6,63,86,82,65,74,67,10,68,3.0,5.0,3.0,0.0,59,44,68,0,22.0
52,6.0,I.E. Nº 4021,3ro,3.0,3.0,99.0,80.0,28,16,20,23,30,19,18,45,26,28,43,10,32,52,48,33,41,51,17,40,2.0,3.0,2.0,0.0,41,35,45,0,16.0
53,6.0,"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""",3ro,2.0,2.0,75.0,67.0,29,26,20,25,32,33,26,47,8,34,32,9,39,49,52,41,46,51,3,21,3.0,4.0,3.0,0.0,54,39,55,0,19.0
54,6.0,"I.E. Nº 5093 ""ANTONIO RAYMONDI""",3ro,4.0,4.0,122.0,142.0,87,68,39,49,66,56,45,91,39,91,90,58,62,83,88,84,82,85,29,71,3.0,4.0,3.0,0.0,58,42,57,0,20.0
55,7.0,"I.E N° 5088 ""HÉROES DELPACÍFICO""",3ro,4.0,4.0,126.0,116.0,46,37,40,42,44,44,39,85,27,74,71,24,55,83,83,58,71,88,8,50,3.0,4.0,2.0,0.0,53,39,53,0,18.0
56,7.0,"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""",3ro,4.0,4.0,81.0,103.0,47,27,31,30,36,32,39,59,22,56,59,10,60,73,68,53,67,63,9,46,2.0,3.0,2.0,0.0,38,28,42,0,14.0
57,7.0,IE 5091 HIJOS DE GRAU,3ro,3.0,3.0,91.0,88.0,34,29,28,36,27,30,26,44,30,42,46,25,40,41,42,40,40,46,22,43,2.0,3.0,2.0,0.0,46,35,48,0,17.0
58,7.0,IE N 5086 POLITECNICO DE VENTANILLA,3ro,4.0,3.0,127.0,119.0,48,19,59,47,49,59,49,91,27,84,81,21,68,108,92,66,99,93,19,81,3.0,5.0,3.0,0.0,51,43,53,0,19.0
59,7.0,IE N° 5130-1,3ro,3.0,3.0,93.0,82.0,41,25,28,31,31,29,34,59,21,50,49,12,48,62,63,43,56,53,9,51,3.0,4.0,3.0,0.0,53,41,61,0,20.0
60,7.0,IE. N° 5130-3 VRHT,3ro,2.0,2.0,53.0,53.0,16,12,14,16,19,16,20,33,19,27,33,10,28,43,37,19,33,35,11,31,2.0,4.0,3.0,0.0,43,41,53,0,18.0
61,7.0,IE.5118 CMDTE JUAN VALER SANDOVAL,3ro,4.0,4.0,129.0,126.0,62,47,47,51,59,50,45,79,31,58,68,26,57,88,83,56,73,88,24,63,3.0,4.0,3.0,0.0,50,41,52,0,18.0
